id,dates,organization,specialties,facility_location,country,link,longterm_mission,mission_comments,charges_to_patients,location_information,sponsoring_organization,organization_url,organization_phone,sponsoring_contacts
33010,Long-term,Advantage Haiti,"Orthotist, Physical Therapy, Prosthetic Services, Rehabilitation Medicine",Centre Sante Lumiere (Cayes Clinic),Haiti,"<a href=""/missionrecords/advantage-haiti-rehabilitation-program"">view</a>",Yes,"Advantage Haiti serves the needs of those with disabling conditions through the Rehabilitation Clinic & the Prosthetics / Orthotics Shop at the Cayes Clinic in Les Cayes, The Bernice Johnson Center (vocational training program for women with disabilities and--starting in May 2010--rehabilitation clinic that can house persons who need to stay in the area for short or longer term rehabilitation. The Rehabilitation Brace Shop is equipped to fabricate custom orthotics. Other programs include those for Blindness and Low Vision and School Sponsorships.",None.,"['Centre Sante Lumiere (Cayes Clinic)', 'Les Cayes', 'Sud', 'Haiti']",Advantage Haiti,,,
33011,Long-term,Lumiere,"Dentistry, Family or General Practice, Internal Medicine, Obstetrics and Gynecology, Pediatrics, Prosthetic Services",Centre Sante Lumiere (Cayes Clinic),Haiti,"<a href=""/missionrecords/centre-sante-lumiere-cayes-clinic"">view</a>",Yes,Outpatient clinic and 60 bed hospital. Rehabilitation Clinic and Prosthetics / Orthotics Shop operates within Cayes Clinic/Hospital. inpatient and outpatient services are offered during the hours of operation of CSL. Referrals are received primarily through the doctors of CSL and H,None.,"['Centre Sante Lumiere (Cayes Clinic)', 'Les Cayes', 'Sud', 'Haiti']",Lumiere,www.lovetheycanfeel.org,704-823-0271,
33012,Long-term,St. Joseph Catholic Church,Family or General Practice,Centro de Medico,Haiti,"<a href=""/missionrecords/st-joseph-catholic-church-centro-de-medico"">view</a>",Yes,,,"['Centro de Medico', 'St. James Parish                   Plaine du Nord', 'Plaine du Nord', 'Artibonite', 'Haiti']",St. Joseph Catholic Church,http://www.stjoeco.org/,,
33013,Long-term,"Christianville Foundation, Inc.","Dentistry, Family or General Practice",Christianville Clinic,Haiti,"<a href=""/missionrecords/christianville-medical-dental-and-eye-clinic"">view</a>",Yes,"small clinic sees about 120 patients a day (2 Haitian docs, 1 American FP and PA) . We do allow very small groups with internists, pediatricians, family practice, nurse practitioners, and physician assistants. At most we can provide an exam room for 1 care giver and can find places for 2-3 nurses or a lab tech/X-ray tech/ or sonographer. We do minor surgery (lumps,bumps, biopsies) and set non complicated fractures. We do not deliver babies. The dental clinic has an orthodontist that arrives every month for about 3 days. See separate listing for Christianville Eye Clinic",,"['Christianville Clinic', 'Gressier', 'Ouest', 'Haiti']","Christianville Foundation, Inc.",#http://www.christianvillehaiti.org#,,
33014,Long-term,Christian Vision Eye Services to Haiti,Optometry,Christianville Eye Clinic,Haiti,"<a href=""/missionrecords/christianville-eye-clinic"">view</a>",Yes,"We specialize in medical glaucoma treatment. We make eyeglasses in-house although our frame selection is at times limited. We stock all prescribed medicines at prices significantly below what patients will pay elsewhere. All patients receive essential medicines regardless of their ability to pay, to the best of our ability. We do not have surgical facilities and often refer surgical cases.","Initial consultations $20, although no patients are turned away for lack of funds.","['Christianville Eye Clinic', 'Gressier', 'Ouest', 'Haiti']",Christian Vision Eye Services to Haiti,http://www.forministry.com/USINCCACCLCCLC/,,
33015,Long-term,Project Haiti Heart,"Dentistry, Family or General Practice",Clinique Baptiste Chretienne,Haiti,"<a href=""/missionrecords/clinique-baptiste-chretienne"">view</a>",Yes,"The clinic has two medical doctors, one dentist and four nurses. Project Haiti Heart is currently working to expand it into a referring cardiovascular center for all of Haiti. Pt. who needs heart surgery will be sent across the border to PHH cardiovascular surgery center in the Dominican border town of Jimani (not yet completed).","The fee for a visit is 10 gourdes ( 25 cents) per visit and for those who can't pay, the visit is free.","['Clinique Baptiste Chretienne', 'Fond Parisien', 'Ouest', 'Haiti']",Project Haiti Heart,http://www.projecthaitiheart.org,cell. 678-438-6766,
33016,Long-term,Cloud Forest Medical Clinic,"Emergency Medicine, Family or General Practice, Pediatrics",Cloud Forest Medical CLinic,Haiti,"<a href=""/missionrecords/cloud-forest-medical-clinic"">view</a>",Yes,Partnered with Humanity First USA and Haitian Christian Mission the clinic provides basic health care services to the extended Seguin community.,,"['Cloud Forest Medical CLinic', 'Seguin', 'Seguin', 'Sud-Est', 'Haiti']",Cloud Forest Medical Clinic,http://wherethestarsstillshine.org/id11.html,3898-3233,
33017,Long-term,,"Family or General Practice, Pediatrics",Danda Clinic,Haiti,"<a href=""/missionrecords/danda-clinic"">view</a>",Yes,"The clinic is open Monday through Friday and is staffed with 3 nurses, a lab technician and a pharmacist.",,"['Danda Clinic', 'Terrier Rouge', 'Nord-Est', 'Haiti']",,,,
33018,Long-term,Double Harvest,"Dentistry, Family or General Practice, General Surgery",Double Harvest Medical/Surgical Clinic,Haiti,"<a href=""/missionrecords/double-harvest-medicalsurgical-clinic"">view</a>",Yes,"The clinic is staffed with a resident doctor, nurses, aides, lab technicians, administrative personnel, dentist and dental assistant who provide excellent medical care for the students, teachers, farm workers and patients from the surrounding communities. A regular rotation of volunteer surgical teams come from the United States to do major operations and specialized surgeries scheduled by the clinic",approximately $1.oo,"['Roche Blanche', 'Ouest', 'Haiti']",Double Harvest,http://www.doubleharvest.org/home/,(440) 714-1694,
33019,Long-term,Ebenezer Medical Clinic,Family or General Practice,Ebenezer Medical Clinic,Haiti,"<a href=""/missionrecords/ebenezer-medical-clinic"">view</a>",Yes,"The clinic offers basic medical care and is staffed with a nurse, a laboratory technician, and a local physician visits several mornings each week.",,"['Ebenezer Medical Clinic', 'Fort Liberte', 'Nord-Est', 'Haiti']",Ebenezer Medical Clinic,http://www.sharinghopeinternational.org/index.php?option=com_content&task=view&id=14&Itemid=29,,
33020,Long-term,Family Health Ministries,"Cervical cancer screening, Family or General Practice, Family planning services, Midwife, Obstetrics and Gynecology, Pediatrics",Family Health Ministries Cervical Cancer Prevention Clinic,Haiti,"<a href=""/missionrecords/family-health-ministries-leogane-clinic"">view</a>",Yes,,,"['Family Health Ministries Cervical Cancer Prevention Clinic', 'Leogane', 'Ouest', 'Haiti']",Family Health Ministries,http://www.familyhm.org,919-932-9699,
33021,Long-term,For Haiti with Love Emergency Medical Clinic,"Burn care, Family or General Practice",For Haiti with Love,Haiti,"<a href=""/missionrecords/haiti-love-long-term-services"">view</a>",Yes,"For Haiti with Love is a Christian mission serving the poor at no charge focusing onEmergency Medicine, specializing in burns. The staff is trained in E.R. medicine with a full time R.N. Volunteer doctors welcome!",24-hour free care.,"['For Haiti with Love', 'Cap-Haitien', 'Nord-Ouest', 'Haiti']",For Haiti with Love Emergency Medical Clinic,http://forhaitiwithlove.org/p_clinic.htm,(727) 938-3245,
33022,Long-term,Project Haiti Heart,Obstetrics and Gynecology,Formosa Obstetrics and Gynecology Center,Haiti,"<a href=""/missionrecords/formosa-obstetrics-and-gynecology-center"">view</a>",Yes,"Built by Project Haiti Heart the center is a 2,500 square-foot building with an obstetric exam room, a delivery room, an operating room, a sterilizing room, and a maternity ward.","The fee for a visit is 10 gourdes ( 25 cents) per visit and for those who can't pay, the visit is free.","['Formosa Obstetrics and Gynecology Center', 'Fond Parisien', 'Ouest', 'Haiti']",Project Haiti Heart,http://www.projecthaitiheart.org,cell. 678-438-6766,
33023,Long-term,Haiti Mercy Mission,Family or General Practice,Haiti Mercy Mission Clinic (Centre Hospitalier De La Jeune),Haiti,"<a href=""/missionrecords/centre-hospitalier-de-la-jeune"">view</a>",Yes,"The clinic is supported by Haiti Mercy Mission and provides primary health care services to the people in and around the area of La Jeune. In addition to exam rooms, the clinic includes a pharmacy and lab and is staffed by a doctor, nurse and lab technician.",,"['Haiti Mercy Mission Clinic (Centre Hospitalier De La Jeune)', 'La Jeune', 'Centre', 'Haiti']",Haiti Mercy Mission,,,
33024,Long-term,Haitian American Friendship Foundation (HAFF),"Dentistry, Family or General Practice, Optometry",Haitian American Friendship Foundation Medical Clinic,Haiti,"<a href=""/missionrecords/haitian-american-friendship-foundation-haff-medical-clinic"">view</a>",Yes,"small medical clinic offering basic healthcare services, distribution of eyeglasses and (when funds permit)a dental clinic several months a year",,"['Haitian American Friendship Foundation Medical Clinic', 'Bohoc', 'Nord-Ouest', 'Haiti']",Haitian American Friendship Foundation (HAFF),www.haff.org,239-565-1196,
33025,Long-term,Haitian Health Foundation,"Dentistry, Emergency Medicine, Family or General Practice, Obstetrics and Gynecology, Optometry, Pediatrics, Radiology",Haitian Health Foundation Clinic (Klinik Pep Bondye-a),Haiti,"<a href=""/missionrecords/haitian-health-foundation-clinic-klinik-pep-bondye"">view</a>",Yes,"Outpatient services include medical, dental and eye care, with an emphasis on child survival and maternal health.",,"['Haitian Health Foundation Clinic (Klinik Pep Bondye-a)', '10 Rue Rochasse', 'Jeremie', ""Grand'Anse"", 'Haiti']",Haitian Health Foundation,http://www.haitianhealthfoundation.org,860-886-4357,
33026,Long-term,Healing Hands for Haiti,"Orthopedics, Physical Therapy, Prosthetic Services, Rehabilitation Medicine","Healing Hands for Haiti ""Kay Kapab"" Clinic",Haiti,"<a href=""/missionrecords/long-term-services"">view</a>",Yes,Urologist comes when we have patients and schedule a clinic. Please call or email for confirmation.,We do not charge for prosthetics but do charge based on the patients ability to pay for the assessment and time to make the limb.,"['Healing Hands for Haiti ""Kay Kapab"" Clinic', 'Avenue John Brown #370', 'Port-au-Prince', 'Ouest', 'Haiti']",Healing Hands for Haiti,http://www.healinghandsforhaiti.org,661-588-4400,
33027,Long-term,Hearts Together for Haiti,Family or General Practice,Hearts Together for Haiti,Haiti,"<a href=""/missionrecords/clinique-sante-pou-yo"">view</a>",Yes,"Staffing is by full time Haitian RN, and part time Haitian MD.",15 gourdes,"['Hearts Together for Haiti', 'Bod Mer Limbe', 'Nord-Ouest', 'Haiti']",Hearts Together for Haiti,#http://www.htfhaiti.org/#,(519) 978-1060,
33028,Long-term,Haiti Medical Missions of Memphis,"Dentistry, Family or General Practice, General Surgery, Optometry",Holy Spirit Clinic (Clinique Sainte d'Esprit),Haiti,"<a href=""/missionrecords/holy-spirit-clinic-clinique-sainte-desprit"">view</a>",Yes,"Comprehensive primary care health clinic in Croix des Bouquets near Port-au-Prince, Haiti. The facility provides day surgery, primary and preventive health care, dental and eye care, and serves up to 400 patients per day.",Currently free of charge to patients,"[""Holy Spirit Clinic (Clinique Sainte d'Esprit)"", 'St. Charles Seminary                   near Port-au-Prince', 'Croix-des-Bouquets', 'Ouest', 'Haiti']",Haiti Medical Missions of Memphis,http://www.cbu.edu/sciences/biology/Haiti/Help-HMM.htm,901-753-0605,
33029,Long-term,Hope Alive! Clinic Ministries,"Family or General Practice, Pediatrics",Hope Alive! Grande Saline Clinic,Haiti,"<a href=""/missionrecords/hope-alive-grande-saline-clinic"">view</a>",Yes,"Clinic is open year round Monday, Tuesday, Thursday 8 am to 2 pm. Dr. Paule, pediatrician, sees patients on Mondays. Nurse Maryse sees patients on Tuesdays and Thursdays. Includes Mom-Tot program offering education, food, medicine, and exams free of charge.",Free care includes medicine and exams for mothers and children up to age 3.,"['Hope Alive! Grande Saline Clinic', 'Grande Saline', 'Artibonite', 'Haiti']",Hope Alive! Clinic Ministries,"http://www.hopealiveclinic,org",609-714-8798,
33030,Long-term,Hope Alive! Clinic Ministries,"Family or General Practice, Pediatrics",Hope Alive! Tricon Clinic,Haiti,"<a href=""/missionrecords/hope-alive-tricon-clinic"">view</a>",Yes,"Clinic is open year round on Thursdays with a doctor and nurse/administrator from 8 am to 2 pm. Includes Mom-Tot program with education, food, medicine and exams free of charge.",Free care includes medicine and exams for mothers and children up to age 3.,"['Hope Alive! Tricon Clinic', '1 hour drive from Les Cayes', 'Tricon', 'Sud', 'Haiti']",Hope Alive! Clinic Ministries,"http://www.hopealiveclinic,org",609-714-8798,
33031,Long-term,Mission of Hope Haiti,"Family or General Practice, General Surgery, Physical Therapy, Prosthetic Services",Hope Clinic,Haiti,"<a href=""/missionrecords/hope-clinic"">view</a>",Yes,"Full time medical clinic with an operating room and post op ward available to volunteer surgical teams. In addition, there is a Prosthetics Clinic and mobile medical clinics for outreach to more rural areas.",Free,"['Hope Clinic', 'Port-au-Prince (Titanyen)', 'Ouest', 'Haiti']",Mission of Hope Haiti,http://www.mohhaiti.org/,239.791.8125  or Haiti  (509) 2.513.4909,
33032,Long-term,Hopital Albert Schweitzer,"Anesthesiology, Family or General Practice, HIV Treatment, Internal Medicine, Obstetrics and Gynecology, Pediatrics",Hopital Albert Schweitzer,Haiti,"<a href=""/missionrecords/hopital-albert-schweitzer"">view</a>",Yes,H,"Fee of 50 Haitian gourdes for is generally comprehensive for local residents. For those outside of the area, more will be charged (300 gourdes). The hospital district is a 610 square mile area from Pont Sonde to LaChapelles and into the mountains.","['Hopital Albert Schweitzer', 'Deschapelles', 'Artibonite', 'Haiti']",Hopital Albert Schweitzer,http://www.hashaiti.org/,,
33033,Long-term,Partners in Health (Zanmi Lasante),"Family or General Practice, HIV Treatment, Infectious Disease, Internal Medicine, Obstetrics and Gynecology, Pediatrics",Hopital Bon Sauveur and Proje Sante Fanm,Haiti,"<a href=""/missionrecords/h"">view</a>",Yes,These are the specialties that are represented on a full-time basis. The TB treatment facility at the Clinique Bon Sauveur works closely with Haiti's Ministry of Health as the primary referral site for all cases of multidrug-resistant tuberculosis in the country. A women,25 Haitian gourdes is fee charged to patients. This is a comprehensive fee that includes all testing and medication if necessary.,"['Hopital Bon Sauveur and Proje Sante Fanm', 'Cange', 'Centre', 'Haiti']",Partners in Health (Zanmi Lasante),http://www.pih.org/wherewework/haiti/index.html,,
33034,Long-term,Haiti Hospital Appeal,"Family or General Practice, Obstetrics and Gynecology, Orthopedics, Pediatrics, Physical Therapy, Rehabilitation Medicine",Hopital Convention Baptiste d'Haiti,Haiti,"<a href=""/missionrecords/hopital-convention-baptiste-dhaiti"">view</a>",Yes,"Services include running a spinal chord injury rehabilitation unit,maternity and pediatric units, a respite center for children with physical and mental special needs, a community health center, and an emergency ambulance response service.",,"[""Hopital Convention Baptiste d'Haiti"", 'Carrefour Le Mort', 'Carrefour Le Mort', 'Nord-Ouest', 'Haiti']",Haiti Hospital Appeal,#http://haitihospitalappeal.org/#,,
33035,Long-term,Promise for Haiti (formerly Christian Mission of Pignon),Dentistry,Hopital de Bienfaisance in Pignon,Haiti,"<a href=""/missionrecords/dental-clinic"">view</a>",Yes,Dr. Jean Petit operates one of the more modern dental clinics in Haiti.,"Patients are charged by their ability to pay, with none turned away in pain.","['Hopital de Bienfaisance in Pignon', 'Pignon', 'Nord-Ouest', 'Haiti']",Promise for Haiti (formerly Christian Mission of Pignon),http://www.pignon.org/NewFiles/CMP.html,813-960-7523;813-843-3878cel.,
33036,Long-term,Lumiere,"Family or General Practice, General Surgery, Lab Services, Obstetrics and Gynecology, Radiology",Hopital de la Paix,Haiti,"<a href=""/missionrecords/hopital-de-la-paix"">view</a>",Yes,"Supported by Lumiere Ministries, Hopital de la Paix serves the populace living in the Zone SILO, Delmas 75 and its surrounding neighborhood. Has 20 Bed In-Patient Surgical And Maternity Ward, Two Surgical Suites, Lab, X-ray, Pharmacy. One general surgeon and one primary care physician on staff. Click here- ",,"['Hopital de la Paix', 'Port-au-Prince', 'Ouest', 'Haiti']",Lumiere,www.lovetheycanfeel.org,704-823-0271,
33037,Long-term,Doctors without Borders,"Burn care, Emergency Medicine, Obstetrics and Gynecology, Orthopedics, Psychiatry",Hopital de la Trinite (Trinity Hospital)- Destroyed by Jan. 2010 earthquake,Haiti,"<a href=""/missionrecords/hopital-de-la-trinite-trinity-hospital-run-msf"">view</a>",Yes,Large emergency room capacity and orthopaedic surgical care. Stabilized patients are moved to Pacot Center for rehab. Also has separate four bed facility for in-patient victims of sexual violence.Victims of rape should come here for treatment within 72 hours after the attack to receive prophylactic antiretroviral treatment and antibiotics against other STDs.,None.,,Doctors without Borders,#http://www.doctorswithoutborders.org#,(212) 679-6800,
33038,Long-term,Lumiere,"General Surgery, Internal Medicine, Obstetrics and Gynecology, Orthopedics, Pediatrics, Physical Therapy, Urology",Hopital Lumiere,Haiti,"<a href=""/missionrecords/hopital-lumiere"">view</a>",Yes,No email service available to Bonne Fin; make through the U.S. home office of Lumiere Medical Ministries. Urology and Orthopedics are available for 2 weeks every 2 months.,"Though fee-for-service, prices are low because the team is committed to serving all classes and levels of Haitian people.","['Hopital Lumiere', 'Bonne Fin', 'Sud', 'Haiti']",Lumiere,www.lovetheycanfeel.org,704-823-0271,
33039,Long-term,Community Coalition for Haiti,"Anesthesiology, General Surgery, Infectious Disease, Internal Medicine, Obstetrics and Gynecology, Orthopedic Surgery",Hopital Saint Michel,Haiti,"<a href=""/missionrecords/hopital-saint-michel"">view</a>",Yes,"CCH is working with MSPP to send rotating US health professionals each month to train Haitian health professionals in advanced surgical procedures, anesthesiology, infection control, patient care, biomedical repair and other health-related topics. CCH is installing a more advanced operating room and primary care equipment.",,"['Hopital Saint Michel', 'Jacmel', 'Sud-Est', 'Haiti']",Community Coalition for Haiti,http://www.pignon.org/NewFiles/CMP.html,(703) 880-4160,
33040,Long-term,Family Health Ministries,"Cervical cancer screening, Gynecological Surgery, Obstetrics and Gynecology",Family Health Ministries (FHM) Leogane Outpatient Center,Haiti,"<a href=""/missionrecords/cervical-cancer-prevention-program"">view</a>",Yes,Cervical cancer screening and treatment using Thin Prep PAP screening and portable colposcopes.,,"['Family Health Ministries (FHM) Leogane Outpatient Center', 'Leogane', 'Ouest', 'Haiti']",Family Health Ministries,http://www.familyhm.org,919-932-9699,
33041,Long-term,Hopital Sainte Croix,Family or General Practice,Hopital Sainte Croix,Haiti,"<a href=""/missionrecords/hopital-sainte-croix"">view</a>",Yes,"Have a program for eliminating and treating lymphatic filariasis. No inpatient care at this time. Hospital operating only as a clinic at this writing(10/2008), with one full-time GP. Cardiologist on Wed.Dr Alexis, long time Int Med there Tues/Thurs. lLab and radiology open, EKG lab. No pharmacy, no ORs no OB and delivery. HSC does host medical missions.","Many cannot pay for this care, and their fees are waived or reduced.","['Hopital Sainte Croix', 'Rue Pere Thevenot # 1                   Facility Ownership: Episcopalian Church of Haiti', 'Leogane', 'Ouest', 'Haiti']",Hopital Sainte Croix,http://www.pcusa.org/health/international/profiles/hsc.htm,011-509-235-1846,
33042,Long-term,Hopital Adventiste d'Haiti,"Family or General Practice, General Surgery, Orthopedics",Hospital Adventiste d'Haiti,Haiti,"<a href=""/missionrecords/hopital-adventiste-dhaiti"">view</a>",Yes,"A 70 bed hospital in Diquini, Port-au-Prince specializing in orthopedics.",,"[""Hospital Adventiste d'Haiti"", 'Route de DiquiniPort-au-Prince', 'Port-au-Prince', 'Ouest', 'Haiti']",Hopital Adventiste d'Haiti,http://www.adventistdirectory.org/viewEntity.aspx?EntityID=14089,509-3234-2510 or 509-3234-4580,
33043,Long-term,Prosthetika,"Orthotist, Physical Therapy, Prosthetic Services, Rehabilitation Medicine",Hospital Adventiste d'Haiti,Haiti,"<a href=""/missionrecords/haiti-prosthetics-assistance-project"">view</a>",Yes,"Prosthetika built a self-contained prosthetic workshop into two 20 foot steel shipping containers on grounds of Adventist Hospital in Diquini, P-au-P. The workshop contains all the necessary power equipment, tools, work stations, and facilities for manufacturing prosthetic and orthotic devices. The workshop facilitates fabrication of artificial limbs and orthopedic braces, as well as serves as a training facility for training local Haitian technicians.",,"[""Hospital Adventiste d'Haiti"", 'Route de DiquiniPort-au-Prince', 'Port-au-Prince', 'Ouest', 'Haiti']",Prosthetika,,707.235.0905,
33044,Long-term,Haiti Ministry of Public Health and Population,"Family or General Practice, General Surgery, Midwife, Obstetrics and Gynecology",Hospital of Hope- Pilate,Haiti,"<a href=""/missionrecords/hospital-hope"">view</a>",Yes,,,,Haiti Ministry of Public Health and Population,,,
33045,Long-term,Community Coalition for Haiti,"Physical Therapy, Prosthetic Services, Rehabilitation Medicine",Jacmel Rehabilitation and  Development Center,Haiti,"<a href=""/missionrecords/jacmel-rehabilitation-and-development-center"">view</a>",Yes,"Healing Hands for Haiti, Team Canada Healing Hands, Team Ange, The Community Coalition for Haiti, and other NGO's have teamed up to provide a sustainable physical rehab clinic in Jacmel, Haiti. All licensed physical and occupational therapy professionals are invited to join.",There is no charge for equipment or care.,"['Jacmel Rehabilitation and  Development Center', 'Jacmel', 'Sud-Est', 'Haiti']",Community Coalition for Haiti,http://www.pignon.org/NewFiles/CMP.html,(703) 880-4160,
33046,Long-term,Doctors without Borders,"Emergency Medicine, Obstetrics and Gynecology",,Haiti,"<a href=""/missionrecords/jude-anne-hospital-emergency-obstetric-care-services"">view</a>",Yes,"Medical care is provided for women with pregnancies presenting dangers to the mother and child, as well as treatment to help prevent mother-to-child transmission of HIV. 60-bed facility, up to 40 babies delivered daily. MSF also runs mobile ante-natal care clinics in three Port-au-Prince slums.",None.,,Doctors without Borders,#http://www.doctorswithoutborders.org#,(212) 679-6800,
33047,Long-term,Vassar Haiti Project,Family or General Practice,L'Acul Clinic,Haiti,"<a href=""/missionrecords/lacul-clinic"">view</a>",Yes,A physician provides basic health care services 2 days each month.,,"[""L'Acul Clinic"", ""L'Acul"", 'Artibonite', 'Haiti']",Vassar Haiti Project,http://projects.vassar.edu/haiti/,,
33048,Long-term,Global Therapy Group,"Physical Therapy, Rehabilitation Medicine",Hopital de la Communaute Haitienne,Haiti,"<a href=""/missionrecords/global-therapy-group-clinic"">view</a>",Yes,http://globaltherapygroup.org/,None,,Global Therapy Group,,913-406-8555,
