"id","title","address ","arv","cardiovascular","dental","department ","diabetes","emergency ","free_obstetric_care_program   ","general_consultation","hypertension","institution_code","intensive_care","laboratory","latitude ","longitude","malaria","number_of_adult_beds","number_of_pediatric_beds","obgyn","operating_room","orl ","palliative_care","pediatrics","pharmacy","physical_therapy","psychology_service","section","status","surgery","telephone","town ","type","vaccination"
"111205","Disp de Bongars (mission baptiste) "," ","0","0","0","OUEST  ","0","0","0","0","0","11506","0","0","18.4043","-72.2897 ","0","0 ","0","0","0","0","0","0","0","0","0"," ","Privée","0","","KENSCOFF","Hopital","0"
"111214","CAL L’Estère"," ","0","0","1","ARTIBONITE  ","1","1","0","1","1","51301","1","1","19.306000000","-72.61010000 ","1","0 ","0","1","1","0","0","1","1","0","0"," ","Publique","1","","L'ESTERE","Hopital","1"
"111218","Palmistes"," ","0","1","1","NORD OUEST  ","1","1","1","1","1","91201","0","1","20.020199999","-72.72469999 ","1","0 ","0","0","0","0","1","0","1","1","0"," ","Publique","0","","LA TORTUE","Hopital","1"
"111228","Hopital  de Lascaobas"," ","1","1","1","CENTRE  ","1","1","1","1","1","63101","0","1","18.8309","-71.9338 ","1","7 ","1","1","1","0","1","1","1","1","1"," ","Mixte","0","","LASCAHOBAS","Hopital","1"
"111231","CAL de L'Asile"," ","0","0","0","NIPPES  ","0","1","0","1","1","102301","0","1",""," ","1","28 ","9","1","1","1","0","1","1","0","1"," ","Publique","0","","L'ASILE","Hopital","1"
"111235","Hôpital Cardinal Léger"," ","0","0","0","OUEST  ","1","0","0","0","1","12104","0","1","18.536999999","-72.56019999 ","1","34 ","0","1","1","0","0","0","1","0","0"," ","Privée","1","","LEOGANE","Hopital","0"
"111237","Sanatorium de Léogane"," ","0","0","0","OUEST  ","0","1","0","1","0","12106","0","1","18.513300000","-72.60519999 ","0","0 ","0","0","0","0","0","0","1","0","0"," ","Publique","0","","LEOGANE","Hopital","0"
"111238","Asile de Sigueneau"," ","0","0","0","OUEST  ","0","0","0","0","0","12107","0","0","18.4394","-72.5884 ","0","0 ","0","0","0","0","0","0","0","0","0"," ","Publique","0","","LEOGANE","Hopital","0"
"111239","Hôpital Sainte-Croix"," ","0","0","0","OUEST  ","0","1","0","1","0","12108","0","1","18.5070","-72.6313 ","0","29 ","6","0","1","0","0","1","1","0","0"," ","Mixte","1","","LEOGANE","Hopital","1"
"111249","CAL St Jean de Limbe"," ","1","1","0","NORD  ","0","1","0","1","1","36101","0","1","19.708600000","-72.40200000 ","0","12 ","10","1","0","0","1","1","1","1","1"," ","Mixte","0","","LIMBE","Hopital","1"
"111250","Hop Bon Samaritain"," ","0","0","0","NORD  ","1","1","0","1","1","36102","0","1","19.6998","-72.40340000 ","1","75 ","0","1","1","0","0","1","1","0","0"," ","Privée","1","","LIMBE","Hopital","0"
"111273","CAL Sacre Coeur"," ","1","1","0","NORD  ","0","0","0","0","0","32301","0","0","19.6099","-72.21269999 ","0","0 ","0","0","0","0","1","0","0","1","0"," ","Mixte","0","","MILOT","Hopital","0"
"111278","Hôpital Sainte Thérèse"," ","0","0","1","NIPPES  ","1","1","0","1","1","101100","0","1","18.4441","-73.095 ","1","28 ","6","1","1","0","0","1","1","0","1"," ","Publique","1","","MIRAGOANE","Hopital","1"
"111286","Hôpital Eye Care de Mirbalais"," ","0","0","0","CENTRE  ","1","1","0","1","1","62102","1","1","18.7851","-72.0819 ","1","6 ","1","1","1","0","0","1","1","0","1"," ","Mixte","1","","MIREBALAIS","Hopital","1"
"111319","Hôpital Eliazar Germain"," ","1","1","1","OUEST  ","1","1","0","1","1","11405","0","1","18.48086","-72.25457 ","1","35 ","0","1","1","1","1","1","1","1","1"," ","Publique","1","","PETION VILLE","Hopital","1"
"111321","Hopital Censhop"," ","0","0","0","OUEST  ","0","0","0","0","0","11407","0","0","18.4809","-72.2546 ","0","0 ","0","0","0","0","0","0","0","0","0"," ","Mixte","0","","PETION VILLE","Hopital","0"
"111326","Hopital nos petits frères et soeurs"," ","1","1","0","OUEST  ","0","0","0","0","0","11412","0","0","18.4809","-72.2546 ","0","0 ","0","0","0","0","1","0","0","1","0"," ","Privée","0","","PETION VILLE","Hopital","0"
"111339","Hôpital Notre Dame"," ","1","1","1","OUEST  ","0","1","0","1","0","12201","0","1","18.430700000","-72.86669999 ","1","47 ","3","1","1","0","1","1","1","1","1"," ","Publique","1","","PETIT-GOAVE","Hopital","1"
"111360","HAS"," ","0","0","0","ARTIBONITE  ","0","0","0","0","0","54210","0","0",""," ","0","0 ","0","0","0","0","0","0","0","0","0"," ","Mixte","0","","PETITE-RIVIERE DE L'ARTIBONITE","Hopital","0"
"111364","Hôpital Bienfaisance de Pignon"," ","1","1","1","NORD  ","1","1","0","1","1","34401","1","1","19.331600000","-72.11889999 ","1","17 ","1","1","1","0","1","1","1","1","0"," ","Mixte","1","","PIGNON","Hopital","1"
"111375","CMP Progressio"," ","0","1","0","NORD  ","1","1","0","1","1","37101","0","1","19.5945","-72.4789 ","1","22 ","8","1","0","0","1","0","1","0","0"," ","Mixte","0","","PLAISANCE","Hopital","1"
"111382","Immaculée Conception"," ","1","1","1","NORD OUEST  ","1","1","0","1","0","91100","1","1","19.936399999","-72.83230000 ","1","22 ","0","1","1","1","1","1","1","1","1"," ","Publique","1","","PORT-DE-PAIX","Hopital","1"
"111396","Beraca"," ","1","1","0","NORD OUEST  ","1","1","0","1","1","91114","0","1","19.9465","-72.77469999 ","1","0 ","0","1","1","0","1","1","1","1","1"," ","Privée","1","","PORT-DE-PAIX","Hopital","1"
"111406","Port Salut"," ","1","1","0","SUD  ","0","0","0","0","0","72101","0","0","18.0837","-73.92010000 ","0","0 ","0","0","0","0","1","0","0","1","0"," ","Publique","0","","PORT SALUT","Hopital","0"
"111409","HUEH"," ","0","0","0","OUEST  ","0","0","1","0","0","11100","0","0","18.541399999","-72.34059999 ","0","0 ","0","0","0","0","0","0","0","0","0"," ","Publique","0","","PORT-AU-PRINCE","Hopital","0"
"111412","Hôpital du Canapé Vert"," ","0","0","0","OUEST  ","0","0","0","0","0","11103","0","0","18.5259","-72.3351 ","0","0 ","0","0","0","0","0","0","0","0","0"," ","Privée","0","","PORT-AU-PRINCE","Hopital","0"
"111422","Hôpital Français"," ","0","0","0","OUEST  ","0","0","0","0","0","11113","0","0","18.5387","-72.3444 ","0","0 ","0","0","0","0","0","0","0","0","0"," ","Privée","0","","PORT-AU-PRINCE","Hopital","0"
"111425","Centre de psychiatrie Mars & Kline"," ","0","0","0","OUEST  ","0","1","0","1","1","11116","0","1","18.5259","-72.3351 ","1","0 ","0","0","0","0","0","0","1","0","1"," ","Publique","0","","PORT-AU-PRINCE","Hopital","0"
"111427","Hôpital St. François de Salle"," ","0","0","0","OUEST  ","0","0","0","0","0","11118","0","0","18.5378","-72.3440 ","0","0 ","0","0","0","0","0","0","0","0","0"," ","Privée","0","","PORT-AU-PRINCE","Hopital","0"
"111430","Sanatorium de Port-au-Prince"," ","0","0","0","OUEST  ","0","0","0","0","0","11121","0","0","18.5390","-72.3350 ","0","0 ","0","0","0","0","0","0","0","0","0"," ","Publique","0","","PORT-AU-PRINCE","Hopital","0"
"111450","Hôpital Saint-esprit"," ","0","0","0","OUEST  ","0","1","0","0","1","11141","1","0","18.5259","-72.3351 ","0","14 ","0","0","1","1","0","1","1","0","0"," ","Privée","1","","PORT-AU-PRINCE","Hopital","0"
"111451","Hôpital Sapiens"," ","0","0","0","OUEST  ","0","0","0","0","0","11142","0","0","18.5304","-72.35559999 ","0","0 ","0","0","0","0","0","0","0","0","0"," ","Privée","0","","PORT-AU-PRINCE","Hopital","0"
"111452","Maternité UMO"," ","0","0","0","OUEST  ","0","0","0","0","0","11143","0","0","18.525400000","-72.34399999 ","0","0 ","0","0","0","0","0","0","0","0","0"," ","Privée","0","","PORT-AU-PRINCE","Hopital","0"
"111453","Hôpital la Sainte Famille"," ","0","0","0","OUEST  ","0","0","0","0","0","11144","0","0","18.531700000","-72.36690000 ","0","0 ","0","0","0","0","0","0","0","0","0"," ","Privée","0","","PORT-AU-PRINCE","Hopital","0"
"111455","Maternité de Christ-roi"," ","0","0","0","OUEST  ","0","0","0","0","0","11146","0","0","18.533000000","-72.34029999 ","0","0 ","0","0","0","0","0","0","0","0","0"," ","Privée","0","","PORT-AU-PRINCE","Hopital","0"
"111485","Saint Nicolas "," ","0","0","1","ARTIBONITE  ","1","1","1","1","1","53101","0","1","19.114599999","-72.69910000 ","1","102 ","25","1","1","1","0","1","1","0","0"," ","Publique","1","","SAINT MARC","Hopital","1"
"111503","Saint Michel de l’Attalaye"," ","0","1","0","ARTIBONITE  ","1","1","1","1","1","55101","0","1","19.3719","-72.33410000 ","1","3 ","1","0","0","0","1","0","1","1","0"," ","Publique","0","","SAINT MICHEL","Hopital","1"
"111559","CAL de Trou du Nord"," ","0","0","0","NORD EST  ","1","1","1","1","1","43101","1","1","19.613199999","-72.02670000 ","1","10 ","2","1","1","0","0","1","1","0","0"," ","Publique","1","","TROU DU NORD","Hopital","1"
"111563","Albert Schweitzer"," ","0","0","1","ARTIBONITE  ","1","0","0","1","1","53201","1","1","19.075900000","-72.49150000 ","1","7 ","0","1","1","0","0","1","1","0","1"," ","Privée","1","","VERRETTES","Hopital","1"
"111568","Dumarsais Estimé"," ","1","1","0","ARTIBONITE  ","1","1","0","1","1","53206","0","1","19.0519","-72.46760000 ","1","0 ","0","0","0","0","1","0","1","1","0"," ","Publique","0","","VERRETTES","Hopital","1"
"11778","SSPE des Abricots   ","n/a ","0","0","0","GRANDE ANSE  ","0","0","0","0","0","81201","0","0","18.648601","-74.307221    ","0","0 ","0","0","0","0","0","0","0","0","0","555555 ","Publique","0","555555","ABRICOT","CSL","0"
"11779","Centre de Santé Léon Coicou d’Anse du Clerc"," ","0","0","0","GRANDE ANSE  ","0","1","0","1","1","81202","0","1","18.648700000","-74.27849999 ","1","1 ","0","0","0","0","0","0","1","0","0"," ","Publique","0","","ABRICOT","CSL","1"
"11780","Nativité"," ","0","0","0","NORD  ","1","0","0","1","1","32101","0","1","19.6438","-72.3334 ","1","3 ","0","0","0","0","0","0","1","0","0"," ","Mixte","0","","ACUL-DU-NORD","CSL","1"
"11781","Tovar"," ","0","0","0","NORD  ","1","0","0","1","1","32102","0","1","19.626000000","-72.2881 ","1","2 ","0","0","0","0","0","0","1","0","0"," ","Privée","0","","ACUL-DU-NORD","CSL","1"
"11782","Grison Garde (NF)"," ","0","0","0","NORD  ","0","0","0","1","1","32103","0","1","19.6438","-72.3334 ","1","0 ","0","0","0","0","0","0","1","0","0"," ","Publique","0","","ACUL-DU-NORD","CSL","0"
"11783","Disp de Pilatre"," ","0","0","0","NORD  ","0","0","0","0","0","32104","0","0","19.6438","-72.3334 ","0","0 ","0","0","0","0","0","0","0","0","0"," ","Privée","0","","ACUL-DU-NORD","CAL","0"
"11784","Disp de Camp Louise"," ","0","0","0","NORD  ","1","0","0","1","1","32105","0","0","19.748699999","-72.34789999 ","0","1 ","0","0","0","0","0","0","1","0","0"," ","Publique","0","","ACUL-DU-NORD","CAL","1"
"11785","Disp de Délivrance"," ","0","0","0","NORD  ","0","0","0","0","0","32106","0","0","19.617799999","-72.28969999 ","0","0 ","0","0","0","0","0","0","0","0","0"," ","Privée","0","","ACUL-DU-NORD","CAL","0"
"11786","Disp de Soufrière (NF)"," ","0","0","0","NORD  ","0","0","0","0","0","32107","0","0","19.6438","-72.3334 ","0","0 ","0","0","0","0","0","0","0","0","0"," ","Publique","0","","ACUL-DU-NORD","CAL","0"
"11787","Disp de la Bruyère"," ","0","0","0","NORD  ","1","0","0","1","1","32108","0","1","19.6402","-72.3078 ","1","2 ","0","0","0","0","0","0","1","0","0"," ","Publique","0","","ACUL-DU-NORD","CAL","1"
"11791","Disp. Bill-Rice"," ","0","0","0","OUEST  ","1","1","0","1","1","15102","0","1","18.789999999","-72.84669999 ","1","3 ","0","0","0","0","0","0","1","0","0"," ","Privée","0","","ANSE-A-GALETS","CAL","1"
"11792","Hôpital Wesleyen"," ","0","0","0","OUEST  ","1","1","0","1","1","15103","1","1","18.835100000","-72.86230000 ","1","9 ","0","1","1","1","0","1","1","0","0"," ","Mixte","1","","ANSE-A-GALETS","CAL","1"
"11793","Disp. Marsucrin"," ","0","0","0","OUEST  ","1","1","0","1","1","15104","0","0","18.788900000","-72.94599999 ","1","1 ","0","0","0","0","0","0","1","0","0"," ","Privée","0","","ANSE-A-GALETS","CAL","1"
"11794","Disp. Grande Source"," ","0","0","0","OUEST  ","0","0","0","1","1","15105","0","0","18.822800000","-72.95690000 ","1","0 ","0","0","0","0","0","0","1","0","0"," ","Privée","0","","ANSE-A-GALETS","CAL","1"
"11796","SSPE de Saint Yves de Sault du Baril"," ","0","0","0","NIPPES  ","0","0","0","1","1","102102","0","0","18.4375","-73.2782 ","0","0 ","0","0","0","0","0","0","1","0","0"," ","Mixte","0","","ANSE A VEAU","CSL","1"
"11797","SSPE de Javel"," ","0","0","0","NIPPES  ","0","1","0","1","1","102103","0","0","18.4261","-73.269 ","0","0 ","0","0","0","0","0","0","1","0","0"," ","Publique","0","","ANSE A VEAU","CSL","1"
"11798","CAL Saint Jean-Baptiste de l’Anse d’Hainault"," ","0","0","0","GRANDE ANSE  ","0","0","1","0","0","82101","0","0","18.491","-74.45409999 ","0","0 ","0","0","0","0","0","0","0","0","0"," ","Publique","0","","ANSE D'HAINAULT","CSL","0"
"11799","SSPE de Mandou"," ","0","0","0","GRANDE ANSE  ","1","1","0","1","1","82102","0","0","18.442499999","-74.44920000 ","1","0 ","0","0","0","0","0","0","1","0","0"," ","Publique","0","","ANSE D'HAINAULT","CSL","1"
"11800","Disp de Sicard"," ","0","0","0","GRANDE ANSE  ","0","0","0","0","0","82103","0","0","18.460636","-74.398658 ","0","0 ","0","0","0","0","0","0","0","0","0"," ","Privée","0","","ANSE D'HAINAULT","CSL","0"
"11801","Disp de Sainte Helène"," ","0","0","0","GRANDE ANSE  ","1","0","0","1","1","82104","0","0","18.460636","-74.398658 ","0","0 ","0","0","0","0","0","0","1","0","0"," ","Privée","0","","ANSE D'HAINAULT","CSL","0"
"11802","Cal Anse Rouge"," ","0","0","0","ARTIBONITE  ","1","1","0","1","1","52301","0","0","19.633500000","-73.05469999 ","0","0 ","0","0","0","0","0","0","1","0","0"," ","Publique","0","","ANSE ROUGE","CAL","1"
"11803","Dispens. Coridon"," ","0","0","0","ARTIBONITE  ","0","1","0","1","1","52302","0","0","19.5549","-72.90160000 ","0","0 ","0","0","0","0","0","0","1","0","0"," ","Publique","0","","ANSE ROUGE","CAL","1"
"11804","Dispens. Figuier"," ","0","0","0","ARTIBONITE  ","0","0","0","1","1","52303","0","0","19.591000000","-72.88649999 ","0","0 ","0","0","0","0","0","0","1","0","0"," ","Privée","0","","ANSE ROUGE","CAL","1"
"11805","Disp. Illodep"," ","0","0","0","ARTIBONITE  ","1","0","0","1","1","52304","0","1","19.663900000","-73.02119999 ","1","0 ","0","0","0","0","0","0","1","0","0"," ","Privée","0","","ANSE ROUGE","CAL","1"
"11806","Disp. Plaine de l’Arbre"," ","0","0","0","ARTIBONITE  ","0","1","0","1","1","52305","0","0","19.6434","-72.9592 ","0","0 ","0","0","0","0","0","0","1","0","0"," ","Publique","0","","ANSE ROUGE","CAL","1"
"11807","Disp. Sources Chaudes"," ","0","0","0","ARTIBONITE  ","1","0","0","1","1","52306","0","0","19.6338","-72.9183 ","0","0 ","0","0","0","0","0","0","1","0","0"," ","Publique","0","","ANSE ROUGE","CAL","0"
"11808","Disp. Tanté"," ","0","0","0","ARTIBONITE  ","0","1","0","1","0","52307","0","0","19.672000000","-73.02460000 ","0","0 ","0","0","0","0","0","0","1","0","0"," ","Publique","0","","ANSE ROUGE","CAL","1"
"11809","Disp. Atrel"," ","0","0","0","ARTIBONITE  ","0","0","0","1","1","52308","0","0","19.639099999","-72.91509999 ","0","0 ","0","0","0","0","0","0","1","0","0"," ","Publique","0","","ANSE ROUGE","CAL","1"
"11810","Centre sans lit des Anse-a-Pitres"," ","0","0","1","SUD EST  ","1","1","1","0","0","23401","0","1","18.043299999","-71.75719999 ","1","0 ","0","0","0","0","0","0","0","0","0"," ","Publique","0","","ANSE-A-PITRE","CSL","0"
"11811","Dispde Banane ","n/a ","0","0","0","SUD EST  ","1","1","0","0","1","23402","0","1","18.145199999","-71.7607  ","0","0 ","0","0","0","0","0","0","0","0","0","27842782 ","Publique","0","27842782","ANSE-A-PITRE","CAL","1"
"11813","CS La Colline"," ","0","0","0","SUD  ","0","0","0","0","0","73102","0","0","18.309200000","-73.24559999 ","0","0 ","0","0","0","0","0","0","0","0","0"," ","Mixte","0","","AQUIN","CAL","0"
"11814","Fond des Blancs"," ","0","0","0","SUD  ","0","0","1","0","0","73103","0","0","18.2809","-73.2189 ","0","0 ","0","0","0","0","0","0","0","0","0"," ","Mixte","0","","AQUIN","CAL","0"
"11815","Charles Pasqua"," ","0","0","1","SUD  ","1","1","0","1","1","73104","0","1","18.2809","-73.2189 ","1","0 ","0","0","0","0","0","0","1","0","0"," ","Privée","0","","AQUIN","CAL","1"
"11816","Vx Bourg"," ","0","0","0","SUD  ","0","0","0","0","0","73105","0","0","18.3001","-73.34350000 ","0","0 ","0","0","0","0","0","0","0","0","0"," ","Mixte","0","","AQUIN","CAL","0"
"11817","Ste Hélène"," ","0","0","0","SUD  ","0","0","0","0","0","73106","0","0","18.2809","-73.2189 ","0","0 ","0","0","0","0","0","0","0","0","0"," ","Privée","0","","AQUIN","CAL","0"
